dyad,partner,age,sex,native_language,closeness,pes,p_self,d_self,p_other,d_other,p_other_mot,d_other_mot
1,1,2,male,German,5,2.11111111111111,4.5,1.5,5.5,1.5,5.75,3.25
1,2,2,female,German,5,2,6,2.25,5.75,3,5,3.5
3,2,1,female,German,4,2.33333333333333,4,1,4.5,1,4.5,1
2,2,1,female,German,5,4.55555555555556,4.25,2.75,5.25,3.25,5.5,2.25
3,1,1,female,German,4,2.11111111111111,5.5,2,6.5,1,5.5,1.75
2,1,1,female,German,4,2.55555555555556,4.75,3,4.25,3.75,6,4
4,2,3,male,German,3,2.11111111111111,4,1.75,4.5,1.25,3.75,1.25
4,1,3,female,German,4,2.77777777777778,5.25,2.25,5.25,1,6,1
5,1,1,female,German,4,3.55555555555556,4.25,5,4.5,1.5,6.5,2.5
5,2,3,female,German,4,3.55555555555556,4.5,2.75,5.75,2.25,6.5,4.25
6,1,1,female,German,4,2.33333333333333,4.25,1.75,5,1.25,6.25,1.5
7,2,1,female,German,3,3.55555555555556,4.25,1.75,4.75,1.5,4.75,1
7,1,1,female,German,3,2.44444444444444,3.5,1.5,5.25,1.75,5.5,2.5
6,2,1,female,German,3,2.88888888888889,4.5,2.25,5.75,1.5,4.75,1.75
8,1,3,female,German,5,3.22222222222222,5.5,4.5,4,1.5,6.25,3.75
8,2,3,female,German,5,2.22222222222222,4.25,2,4.5,6.5,5.75,5.5
9,1,2,female,German,4,4.44444444444444,6,3,6.5,2.5,7,2.5
10,1,3,female,German,3,4.11111111111111,5.75,3,7,1.75,5.5,2.75
10,2,3,female,German,4,4,6,2.25,6.25,1.25,6,1
9,2,2,female,German,4,3.44444444444444,4,2.5,6.75,3.25,7,3.5
11,2,2,female,German,4,4.66666666666667,6.5,2.75,6.5,2,6.5,2
11,1,1,female,German,4,2.77777777777778,3,1,4.75,1,5.5,1
13,1,2,female,German,4,1.88888888888889,4.75,1.25,5.25,1,6,1
12,2,2,female,German,4,3.77777777777778,5.75,3.5,6,2.5,6,3.25
12,1,2,female,German,4,2.77777777777778,4,1.25,4.75,1.25,5,1.75
13,2,2,female,German,4,2.22222222222222,4.75,2.75,5.5,1.5,5.5,1.25
14,2,3,male,German,3,3.55555555555556,5,3.75,5.75,4.25,4,3.75
14,1,1,female,German,3,3.44444444444444,6,4.25,6,2.75,5.75,3
15,2,1,female,German,5,2.44444444444444,4,2,5.5,1.25,6.25,1.5
15,1,1,female,German,5,1.55555555555556,3.5,1.5,4.5,2.5,5.5,2.5
16,1,1,female,German,4,3.33333333333333,3.25,1.75,6,1.25,5.75,2
16,2,1,female,Other,4,2.55555555555556,3.5,3,3.5,3.75,5,4
17,1,1,female,Other,3,3.55555555555556,4.5,3.75,4.5,3.25,6.5,3.5
17,2,1,female,Other,3,4.55555555555556,5,1.25,6,3.75,6.25,4.5
20,2,1,male,German,5,4.33333333333333,6,2.75,7,2.5,5.75,2.5
20,1,1,male,German,4,2.22222222222222,5.25,3.25,4.25,2.5,5.75,2.25
300,1,1,female,Other,5,3.55555555555556,5,3,6.75,4.5,4.25,3.75
300,2,1,female,Other,5,5.55555555555556,4,5.25,3.75,4,4.75,4
18,1,3,female,German,5,2.77777777777778,6,1,6,3.25,6.25,3.5
18,2,3,female,German,5,4.11111111111111,4.25,4.25,5,1.75,5.75,2.25
21,2,1,female,German,5,1.88888888888889,5.75,3.5,5.75,2.25,5.75,2
21,1,1,female,German,4,2.33333333333333,3.75,1.25,4.5,1,4.25,1.25
19,2,2,female,German,5,3.44444444444444,4,4.5,4.5,5,4.5,5
19,1,2,female,German,4,3.55555555555556,4.75,1.75,4.75,1,6.25,1.25
22,1,3,male,German,4,2.55555555555556,4,1.25,5.25,2.75,5.75,3.5
22,2,1,female,German,4,2.11111111111111,2.75,1.25,3.5,2.75,3.5,1.75
23,2,1,female,German,3,4.33333333333333,6.75,3,4.5,2.25,3.75,1.5
23,1,1,female,German,3,2,3.75,1.5,5.5,1.75,5.75,2.75
24,1,3,female,German,5,6.22222222222222,7,3.75,7,3.25,7,4.75
24,2,2,male,German,5,4.44444444444444,5.25,2.25,6.5,1.5,3.5,1
25,1,3,male,German,3,3.88888888888889,5,3.25,3.75,1.75,5.5,2.25
25,2,2,male,German,3,6.44444444444445,6.25,5.75,7,2,6.25,5.5
26,1,2,female,German,5,4.33333333333333,4.25,3.75,2.75,1.5,3.5,1.5
26,2,2,male,German,5,1.55555555555556,3,2,3.25,2.5,4.75,2.5
27,1,1,female,German,5,4.44444444444444,5.75,6,4.75,1.5,3.75,1.75
27,2,1,female,Other,5,2.77777777777778,6.25,2,4.5,6.75,5.25,6
28,2,3,male,German,5,1.55555555555556,5,3.5,5,2.25,6,1.5
28,1,3,female,Other,5,1.11111111111111,4.75,3.75,5.75,5,5.5,6
29,2,1,female,German,5,3.88888888888889,5.5,2,5.75,1.75,5.75,1.75
29,1,1,female,German,5,1.88888888888889,5.25,1.25,5.75,1,4.5,1.25
31,1,3,female,German,5,3.77777777777778,5.25,6.25,5.25,2,3.75,1.25
31,2,3,male,German,5,2.22222222222222,4.5,1.75,4.75,6,6,2.75
30,1,2,male,German,4,3.44444444444444,3.75,2.25,4.75,2,5,1.25
30,2,1,female,German,4,2.22222222222222,5.5,4.75,5.25,2.75,6,3.5
32,2,3,male,German,4,3,6.25,1.5,6.5,1.5,4.75,2.5
32,1,3,male,German,4,3.88888888888889,4.25,4.25,6.75,3,2.5,4.5
33,1,2,female,German,5,2.77777777777778,4.5,2.5,5.5,1,6.5,2.75
33,2,1,female,German,5,1.77777777777778,4.75,1.25,5.75,1.25,6.25,2.75
34,2,1,female,German,3,3.22222222222222,4.75,1.5,5.5,1.5,5.75,1.5
34,1,1,female,German,4,2,4.5,1.5,5,2.5,5.75,2.75
35,2,1,female,German,4,2.66666666666667,5.75,2,4.25,3.5,4.25,3.5
35,1,1,female,German,4,4.22222222222222,5,1.5,5.5,1.25,5.5,1
36,2,2,male,Other,2,3.77777777777778,4.25,2.75,3,4,3,3.25
36,1,2,female,Other,4,4.77777777777778,5,3.25,4.75,3.5,5.25,3
37,2,1,male,German,5,1.88888888888889,4.25,2.25,5.75,3.5,6.5,4
37,1,1,male,German,5,5.22222222222222,6,3.25,4.25,3.25,5.5,3.75
38,1,3,male,German,5,1,2.5,1,3.75,1,2,1
38,2,3,female,German,5,3.77777777777778,5.5,2.75,6,1.5,5,2.25
39,1,1,female,German,4,1.66666666666667,4.75,1.25,3,4.25,5.5,2
39,2,1,female,German,4,4,5.25,1.5,5.5,1.25,5.75,1.25
40,2,3,male,German,3,3.22222222222222,5.25,4.25,5,2.75,5.5,2
40,1,2,female,German,4,3.22222222222222,5.75,2,5.75,4.75,7,5
41,1,3,female,German,5,4.66666666666667,4.75,3.25,5.5,1,2.5,1.75
41,2,3,female,German,4,2,5,1.5,5,1.5,5,1.5
42,1,2,male,Other,4,4.11111111111111,5.25,2,4.75,2.75,6,3.25
42,2,2,female,Other,4,5,5,2.75,6,3,7,2.25
43,2,3,male,German,5,1.55555555555556,3.75,1,5,1,5.75,1
43,1,3,female,Other,5,4.33333333333333,6,4,7,1,6.25,3.25
44,2,1,male,German,3,2,2.5,4.5,4,2.75,5.75,3
44,1,1,male,German,3,2.55555555555556,3.25,1.75,2,2.75,4,3.5
45,1,1,female,German,4,3.44444444444444,6.25,3.75,5.75,3,5.25,3.25
45,2,1,female,German,4,1.55555555555556,5,1.25,7,3.5,5.5,2.25
47,2,3,female,German,5,3.11111111111111,5.5,1.5,6.5,1.5,5.75,1.5
47,1,3,female,German,4,1.11111111111111,3,1.5,4.25,2.25,5.25,4.5
48,2,3,male,German,3,3.22222222222222,4.75,3.25,4.25,1,5,1
48,1,3,female,German,3,4,3.75,3.5,4.75,3.5,4.25,2
49,2,2,female,German,5,3.77777777777778,6,1.25,6.25,3.5,7,3
49,1,1,female,German,5,1.66666666666667,6.25,1.75,6,2.25,4.75,2.25
50,2,1,female,German,5,2.77777777777778,3.25,4,3.25,2.75,5.25,3
50,1,1,female,German,5,4,5,3,5.25,2.75,6.25,3
51,1,1,male,German,2,4.66666666666667,4.25,4,5.25,5,6,4.5
51,2,3,male,German,2,2.88888888888889,5.75,3,3.5,1.75,5.5,2.5
52,1,3,female,German,5,4.55555555555556,5,4.5,6,4,4.75,3.5
52,2,3,male,German,5,2.44444444444444,4.75,1,4.5,1.25,4.75,1
53,2,3,female,German,4,2.55555555555556,5,4.5,6,5.25,5.75,4.75
53,1,3,female,German,4,1,5.75,2.75,5.75,3.25,6.25,3
54,2,1,female,German,4,4.22222222222222,4.75,5.75,4.75,2.75,7,3.5
54,1,3,male,German,5,5.33333333333333,3.75,4.5,3.25,5,6.25,4.75
58,2,1,male,German,5,4.22222222222222,5.25,4,6.5,1.75,6.5,1.75
58,1,1,female,German,5,1.66666666666667,3.5,3,6.25,3,6.5,3.75
59,1,2,female,German,3,4,5,3,5,1.5,4.25,1.25
59,2,1,female,German,3,2.22222222222222,3.75,3.5,6.25,2.75,5.25,3.25
60,1,1,male,Other,4,5.66666666666667,5.25,2.25,2.75,1.25,3,2
60,2,1,female,German,4,2.22222222222222,4.25,1.75,4.75,1,5.5,1
61,2,2,female,German,5,3,3,6.5,2,7,4.75,1
61,1,3,female,German,4,3.55555555555556,4.75,2.75,5.5,2,5.25,1.75
62,1,1,male,German,4,1.77777777777778,3,1.75,2.75,1.75,4.5,1.25
62,2,1,male,German,5,1.22222222222222,4.75,1.75,4.75,1,5.75,1
63,1,3,female,Other,4,4.22222222222222,4.75,3.5,5.25,1.75,5,1.5
63,2,2,female,German,4,3.66666666666667,5.5,6,5,2,7,4.5
64,1,2,male,German,4,4.22222222222222,6,2.5,5.25,1,4,1
64,2,1,female,German,3,4.11111111111111,4,2.5,5.25,2,5.25,2.25
65,2,1,male,German,4,2.66666666666667,4.75,1.25,4.25,2.25,3.5,2
65,1,2,female,German,3,1.88888888888889,4,1.25,5,1,6.5,2.5
67,2,1,female,German,3,3.44444444444444,4.75,1.75,4.25,1.75,5.25,2.5
67,1,2,female,German,3,3.66666666666667,5,2,5.25,1.5,3.75,1.25
68,2,1,female,German,4,2.44444444444444,6.5,3,6.25,4.75,6.25,3.75
68,1,1,female,German,4,2.77777777777778,5.5,2.75,6.25,2.75,6.5,3.75
69,2,1,female,Other,4,3.66666666666667,3.5,2,5.25,1.25,4.75,1.25
69,1,1,female,German,5,1.77777777777778,3.5,2.25,3.25,1.25,5.75,1.25
70,1,1,female,German,3,3.22222222222222,5,2,4.75,2,5.25,2
70,2,1,female,German,3,1.66666666666667,4.5,2.5,3,1,3.25,1.75
71,2,1,female,German,4,2.11111111111111,3.5,2,4.75,1,6,1.5
71,1,1,male,German,4,4.44444444444444,5,2.75,6,2,5,1.25
73,2,2,male,Other,4,6.22222222222222,5.25,2.5,4.5,4.25,4.5,4.5
73,1,2,female,German,5,3,6.5,1.5,6,1.75,7,1.25
74,2,1,female,German,5,1.77777777777778,4.25,1.5,5.5,1.25,5.5,1
74,1,1,female,Other,5,4.11111111111111,4.5,2.25,5.25,3,4.75,3.25
75,2,3,male,German,4,5.11111111111111,3,4.5,3.75,2,3.75,2
75,1,3,female,German,3,2.44444444444444,4,1,4,1,5,1
76,2,3,female,German,4,3.55555555555556,5.25,1.75,6.5,4.75,5.5,4
76,1,3,male,German,4,3.44444444444444,6.25,2.75,5.75,1,5,3.25
77,1,2,male,German,4,2.88888888888889,4.25,2.75,6,1,4.25,2.25
77,2,3,female,German,4,2,5.5,2.5,6,1.5,6.5,1.5
78,1,1,female,German,4,2.77777777777778,4,1,4.75,1,4.75,1
78,2,1,female,German,5,3.33333333333333,4,2,3.75,2.75,4,2.25
79,1,3,female,German,5,3.33333333333333,4.5,4.25,5.25,1,3.75,3.25
79,2,3,male,German,4,2.55555555555556,2.75,1.75,5,2.75,5.75,3
81,1,1,female,German,4,3,3.5,1.5,5,3.25,6,3.5
81,2,1,male,German,4,1.55555555555556,5,2.25,4.25,1.25,5.75,1
82,1,1,female,German,5,5,5.25,2,4.75,1.75,5.75,1.75
82,2,1,female,German,5,4.33333333333333,5.5,2.75,5.25,2.75,4.75,2.5
84,2,3,female,German,4,3.22222222222222,4.5,4.25,6.25,2.75,6.75,3.5
84,1,3,female,German,4,3.77777777777778,6.75,3,6,2.25,6.25,1.5
85,1,3,male,Other,1,5,4.75,4,4,4,5,5
85,2,3,male,Other,4,4.44444444444444,4,3.75,3.5,4,3.5,4
86,1,3,male,German,5,2.11111111111111,6,3.25,6.5,3.25,5.75,2.75
86,2,3,female,German,5,1.88888888888889,5,1.5,6.25,2,7,4.5
87,2,1,female,German,5,1.55555555555556,3.5,3.25,5.25,1.5,5.25,2
87,1,1,female,German,5,2.55555555555556,5,2.5,5,2,5.25,2.75
88,1,1,female,German,5,3.77777777777778,4.75,1.75,6,3.25,4.75,3.75
88,2,1,female,German,3,1.22222222222222,2,1,2.75,1,2,1
89,2,3,female,German,5,3.22222222222222,4,2.5,1.75,1,4,1.75
89,1,1,male,German,5,3.11111111111111,4.75,2.25,5,3.5,5.25,4.25
90,2,2,female,German,5,2.66666666666667,5.75,1.5,7,1.5,6.75,1.75
90,1,2,male,Other,5,5.11111111111111,5.5,6.25,5.25,5.25,6,5.75
91,2,1,male,German,5,1,4,1.5,3.75,1.5,4.75,1.75
91,1,1,female,Other,5,4.77777777777778,5.25,4.75,6.25,3,4.5,1.75
92,1,2,female,German,5,3.55555555555556,4.75,1.5,5,3.75,6.25,3.25
92,2,3,male,Other,5,4.77777777777778,5.25,1,5.5,1,6.5,1
93,1,2,female,German,4,4.11111111111111,5,2.5,5.5,1.25,4.75,1
93,2,2,male,German,4,4.11111111111111,5.25,2.75,5.25,2.5,4.75,2.25
95,1,3,female,German,3,3.22222222222222,3,1.5,5,1.25,5.5,3
95,2,3,female,German,4,4.22222222222222,5.75,3.5,6.25,2,5,2.25
94,1,2,female,German,5,4.33333333333333,5.5,3.25,4.5,2,6,2.25
94,2,2,male,German,5,3.55555555555556,2.75,3,4.75,2.5,5.75,2
98,2,1,female,German,4,2.88888888888889,4.75,3.25,5.25,2.5,5.25,2.5
98,1,1,female,German,4,2.44444444444444,5.25,2.75,5.25,2,4.75,2.25
99,1,1,female,German,3,2.33333333333333,3.75,2.75,5.25,1.5,5.75,1
99,2,2,male,German,4,1.66666666666667,4.5,2.5,4.5,1.75,5.25,2.5
100,2,2,female,German,5,2.66666666666667,3.25,1.25,5.5,1.25,5,1.25
100,1,3,female,German,4,3.44444444444444,5.75,3.75,6,1.5,5.75,1.75
102,1,3,female,Other,3,2.55555555555556,5.25,1.25,6.25,1,4,1
102,2,3,female,German,2,2.55555555555556,5.75,3,5.5,2,5.25,2.75
101,1,1,female,German,4,2.33333333333333,5.75,3.25,4.5,1.25,5.25,2.25
101,2,3,male,German,4,2.55555555555556,3.5,2.5,5.25,1.5,4.75,2.5
103,2,3,male,German,4,2.66666666666667,3.25,2.5,4.25,2,5.25,1.75
103,1,3,female,German,4,4,5,3.25,5.75,3.5,6,3.75
104,1,1,female,German,3,3.33333333333333,4.25,3.5,6,3,4.75,3
