dyad,partner,age,sex,native_language,closeness,pes,p_self,d_self,p_other,d_other,p_other_mot,d_other_mot
104,2,2,female,German,3,2.44444444444444,3.75,1.75,4.75,2.5,5,2
105,1,3,female,German,4,4.44444444444444,5.75,4,6.5,5.5,6,6.75
105,2,3,male,German,5,5.55555555555556,6,4.75,6,2,6.25,2
107,2,2,female,German,5,3.11111111111111,3.5,1.5,5.5,1,4.5,1
107,1,2,female,German,4,4,5,3.25,6,1.25,5,1
106,1,1,female,German,4,2.22222222222222,4.25,2,6,1.5,5.25,1.75
106,2,1,female,German,4,1.77777777777778,4.75,2,5,2,4.75,3
108,2,2,female,German,5,2,2,1,6,2,5.75,1.75
108,1,2,female,German,4,4.22222222222222,5.75,2.25,3.5,3.5,6.5,3.25
109,1,1,female,German,2,3.55555555555556,5.5,2,4.75,2.25,4.75,2.25
109,2,1,male,German,2,3,5,3,7,3,6.5,3.25
110,2,1,female,German,5,3.66666666666667,5.25,2,4.75,3,6,3.25
110,1,1,female,German,5,2.33333333333333,3,2.25,3.75,1,6,1.75
111,1,3,female,German,4,3.22222222222222,3.5,2,6,2.5,6.5,1.5
111,2,3,female,German,4,2,4.75,3.25,5.25,1.5,5.5,3.25
112,1,3,female,German,3,2.88888888888889,4.5,2,5.5,3,4.5,3.75
112,2,3,female,German,4,2.33333333333333,4.25,2,7,1.25,6.5,2.5
113,1,3,female,German,5,2.88888888888889,5.25,2.25,6,2,6.25,2.75
113,2,3,female,German,4,4.22222222222222,4.25,3.5,4.5,1.5,4.5,1
115,1,3,female,Other,3,1,5,1.25,4.25,1,4.25,1
115,2,3,male,Other,3,4.11111111111111,4.25,4.5,4.75,2.25,4.5,2.5
114,2,1,female,German,2,2.11111111111111,3.25,1.75,5,1.5,4.25,1.75
114,1,3,male,German,2,4.66666666666667,4,2.75,3,2.5,5,3.5
116,1,3,female,German,4,1.33333333333333,4,3.5,6.5,2.25,4,2.25
116,2,3,female,German,5,4.11111111111111,4.5,2.25,6,4,6,3.5
117,2,2,female,Other,4,2.33333333333333,4.75,2,5.75,5.25,6.5,5
117,1,3,male,German,4,4.11111111111111,5.75,4,5.5,2.5,4.75,4
119,2,3,female,German,4,3,4.75,1.5,6,3.5,5.75,2
118,1,2,female,German,4,3.88888888888889,6,4.25,5.75,4,6,4.75
119,1,3,female,German,3,4,6,1,5,1,6.25,1.5
118,2,1,female,German,4,3.33333333333333,4.25,2.75,4.5,2.75,7,1.75
120,2,1,female,German,3,2.44444444444444,3.5,4.75,4.5,1.25,6.5,1.5
120,1,3,male,German,3,3.88888888888889,4.75,4,5,3.75,4,3.75
121,1,1,female,German,4,4,5.25,2.75,6.25,3.25,7,3.75
121,2,2,female,German,4,3.55555555555556,5,1.5,6,1,4.25,1
122,2,2,female,German,4,1,3.5,1,5.5,1.5,6.5,1
122,1,2,male,German,4,3.44444444444444,5.75,2.75,5.5,3.5,6.25,3.5
123,1,2,female,German,5,3.88888888888889,5.5,2.25,6,2,5.25,1.25
123,2,2,female,German,5,2.88888888888889,5.25,1.5,5,1.5,5.75,3.25
124,2,1,female,German,5,3,5,1.5,5.75,1.25,5,1.25
124,1,1,female,German,5,2.77777777777778,4.75,1.75,5.5,1.75,5.25,2.25
125,1,3,male,German,3,3.11111111111111,5.75,2,5.25,2,5.5,2
125,2,2,female,German,3,1.11111111111111,4.5,1.5,5,1.25,5,1.25
126,1,1,male,German,4,3.77777777777778,5,3.5,5.25,3,5.75,2.5
126,2,1,male,German,4,3.66666666666667,5.5,2,5.75,2.25,5.5,1.75
127,2,2,female,German,4,3.77777777777778,5,2.25,5.25,2.25,5.75,2
127,1,3,female,German,4,3.33333333333333,4.5,1.5,4.75,1,5.5,1
128,2,2,female,German,4,3.22222222222222,5.25,2.25,5.75,1,5.75,1
128,1,2,female,German,2,2.22222222222222,3.25,3.5,4.5,2.25,5.25,2.5
129,1,2,female,German,4,2.77777777777778,4,3.25,5.75,2.25,4.75,2.75
129,2,2,female,German,4,3.22222222222222,5.75,2.5,6.25,1.5,5.75,2
130,1,1,female,German,3,2.33333333333333,3.5,1.5,4.25,1.25,4,1.5
130,2,2,female,Other,3,4.55555555555556,6.75,2,6.25,1.75,5.75,2
131,2,1,female,German,4,4.22222222222222,5.25,1.75,4.25,1.75,5.25,1.75
131,1,1,female,German,5,2.77777777777778,4.25,1.75,5.75,1,4.5,1.25
133,2,2,female,Other,4,3.55555555555556,2,3.25,4,2.5,4,5.25
133,1,1,female,German,3,2.44444444444444,3.25,2.5,3.75,1.75,5.25,3.5
134,1,3,female,German,3,1.88888888888889,4.5,1,6.25,1,3.5,1
134,2,3,female,German,3,1.55555555555556,5,4.25,6,1.75,5,2.75
132,1,1,female,German,4,3.11111111111111,3,3.75,4.25,2.5,4.75,2.5
132,2,1,female,German,5,3.22222222222222,5.5,3,6,2,7,3
135,2,1,female,German,3,1.88888888888889,5.25,1.25,4.25,1.75,5.75,2
136,2,1,female,German,4,1.33333333333333,3.5,1,7,1,4,1
136,1,2,female,German,4,2.88888888888889,6.25,3.25,6.25,1.25,6.5,1
135,1,1,female,German,3,2.44444444444444,3.75,2,5.5,1,4.5,1.25
137,1,1,male,German,5,3.77777777777778,5.25,5,5.75,6.75,6.75,6.25
137,2,1,male,German,5,3.33333333333333,6.5,4,6.75,3.5,6.5,2.75
140,2,1,male,German,4,3.66666666666667,5.5,4.5,4.5,2,4.5,3.25
140,1,2,female,German,5,3.33333333333333,4.25,3,4.5,4,5.5,3.25
141,1,2,male,German,4,4.22222222222222,5.25,3.75,5.5,2.75,4.75,3.5
141,2,2,male,German,4,2.77777777777778,5.25,3.25,5.5,3.25,5.5,2.5
139,2,2,male,German,5,2.77777777777778,5.25,4,2.5,1.5,2.5,1.75
139,1,2,male,German,3,4.77777777777778,1,2.5,7,7,7,7
142,2,2,female,German,4,3.77777777777778,4.75,3,6.25,1.5,5.25,2
142,1,3,male,German,4,2.66666666666667,5.75,2,4,4.5,5.5,5
146,2,1,female,German,5,2.55555555555556,4.75,2.25,5,6,6.25,6
146,1,2,male,German,5,3.11111111111111,5,3.25,4.5,2.25,4.25,2.25
149,2,2,female,German,4,2.88888888888889,3.75,2.75,6,2.25,6,2.25
149,1,2,female,German,4,5,5.25,4.25,5,3,5.5,4.25
148,2,1,female,German,4,3,4,2.75,6.25,1.5,5,2
148,1,1,male,German,3,4.33333333333333,5.75,2.5,5.5,2,5,2
150,2,1,female,German,2,4,4.75,3,4.5,3.25,6.75,3.25
150,1,2,female,German,3,1.66666666666667,3.75,1,4.75,1,3.25,1
151,1,2,male,German,4,3.22222222222222,5.25,2.5,2.75,1.25,5.25,3.75
151,2,1,female,German,4,2,3.75,2.75,4.75,2.5,6,1.25
152,2,2,female,German,4,4,4.5,4.25,5,4,6,4.5
152,1,1,female,German,4,5,5.25,3.5,4.25,4,6.5,4
153,2,1,female,German,4,1.88888888888889,2.75,1.25,3.25,1.75,3,1.5
153,1,1,male,German,4,2.55555555555556,2.75,3.5,5.5,1.5,4.25,1.5
154,2,2,female,German,4,2,3.5,1.5,4,1,4.25,1.25
154,1,1,female,German,4,2.88888888888889,4.75,4.25,4.5,2,5.75,1
155,1,3,female,German,4,2,5.75,1.25,6.5,1,5.75,1.25
156,2,2,female,German,4,3.33333333333333,6,2,6.25,2.25,6,1.75
156,1,2,male,German,3,2.88888888888889,5.5,2.75,6,2,5,2
155,2,3,female,German,4,1.55555555555556,5.25,3,6.75,2.5,6,2.25
157,1,3,female,German,3,3.22222222222222,3.25,2.25,4,3.25,5.5,2.5
158,2,2,female,German,4,4,4.75,1.75,5,1,5.5,1
158,1,3,female,German,5,4.11111111111111,5.75,4.25,5.75,4,5.75,4
157,2,3,female,German,3,4.44444444444444,4.75,1,4.25,1,4,1
159,2,2,female,German,4,3.66666666666667,4.5,1.25,6.5,1.75,6.5,3.25
160,1,3,male,German,4,2.44444444444444,4.25,2.25,6,1.5,4.25,1.75
159,1,1,female,German,4,3,4.75,2.5,5.75,2.25,4.5,1.5
160,2,3,male,German,4,3,5.5,1.75,4.5,1,5,1
161,2,3,female,German,4,2.66666666666667,4.75,2.75,4.75,3,6.75,2.75
161,1,3,female,German,4,1,3.25,3,3.75,1.75,3.5,1.75
162,1,2,female,German,4,3.55555555555556,3.5,2,5,4.25,5.75,3.5
162,2,2,female,German,4,4,4.75,3.75,4.5,2.75,6.75,3.5
163,1,1,male,German,5,3,5.5,2,5.75,3,6.5,3
163,2,1,female,German,5,4.22222222222222,4.25,2.5,4.5,1,5.75,1.5
164,2,2,male,German,4,3.44444444444444,5.75,3,7,2.75,6,2.5
164,1,1,female,Other,4,2.33333333333333,5.5,1.5,6,2.5,6,2
165,2,2,female,German,3,3.44444444444444,4.75,3.5,5.25,1.5,5.25,1.75
165,1,2,female,German,3,2.33333333333333,3.75,2.75,4.75,3.25,5.5,3.75
166,1,1,female,German,4,4.44444444444444,4.75,3.25,5,2.25,5.75,3.75
166,2,1,female,German,4,4,6,3.25,5.25,3.25,5.75,2.5
167,1,2,female,German,4,3.66666666666667,5.25,3,4.5,1.75,6.25,4.5
167,2,3,male,German,3,5.55555555555556,6,3.75,6,2,5.5,4
168,2,1,male,German,5,2.11111111111111,3,1.25,6.75,5.25,5.25,2.5
168,1,1,male,German,5,3.66666666666667,6.25,5.75,4.75,1.75,5.5,1.25
169,2,2,female,German,5,3.77777777777778,4,4,4.25,2.75,5,3.25
169,1,2,female,German,5,3.44444444444444,4,3.5,3.75,1.25,5.25,1
170,1,2,female,German,4,2.55555555555556,4,1.5,4.25,1,4.75,1.25
170,2,2,female,German,5,2.22222222222222,3.25,1,5.25,1,3.5,1
171,2,3,male,German,4,5.11111111111111,5,2.5,5.5,4.25,5.75,3.75
171,1,3,male,German,4,4.77777777777778,7,2.25,7,2.25,4,1.75
172,1,1,male,German,3,2.22222222222222,5.25,3.25,5.25,1,4.25,1.75
172,2,1,male,German,3,1.22222222222222,4.75,2.75,4.75,1.25,5.5,1.25
173,2,3,male,German,4,4.22222222222222,5.5,3.5,5.75,2,5.25,2
173,1,2,female,German,4,2.11111111111111,4.75,3.75,4,2.75,5.25,2
175,2,3,female,German,3,1.44444444444444,4.75,3,6,2.5,5.75,2
175,1,3,male,German,3,2.66666666666667,6,2,6.25,1.75,5.5,1.5
177,1,3,female,German,4,4.77777777777778,4.5,3.5,6,2.25,3.25,2.5
177,2,3,female,German,4,4.44444444444444,4.25,3.75,6,4.25,6,3
178,2,2,female,German,5,4.22222222222222,4,4.25,6.5,1.5,6.25,2.25
178,1,3,female,German,5,3.55555555555556,4.75,2.25,6,1.5,5.25,1.75
179,2,2,female,German,4,2.77777777777778,5.75,1.75,6.75,2.5,6.5,3.75
179,1,3,female,German,5,2.11111111111111,4.25,4.25,6,4.25,5.25,4.75
180,2,1,female,German,2,2.22222222222222,2.5,3.75,4.25,1.75,5.5,3.25
180,1,2,female,German,2,2.33333333333333,6,2.5,4.25,3.5,6.5,2.5
181,1,3,male,German,4,3.66666666666667,5,1.5,5.5,1.5,4,1.75
181,2,2,male,German,4,3.11111111111111,4.75,2.75,5.5,3,5.25,2
182,1,3,female,German,5,2.44444444444444,1.5,1.5,3,4,4,3
182,2,1,female,German,5,2.11111111111111,3.75,1.5,4.5,3.75,3.75,1.75
184,1,2,female,German,3,2.44444444444444,5.25,1.25,4.5,1,2,2
184,2,2,female,German,4,2.44444444444444,4,2.5,5,2.75,5,2.5
185,1,3,female,German,1,4,4.5,2.75,5,3.75,5.75,4
186,1,3,male,German,4,5.77777777777778,5,5.25,4.5,2.25,4.75,2.75
185,2,3,male,German,2,2.77777777777778,5.75,1.75,5.25,1.5,5.5,1.75
186,2,2,female,German,4,1.77777777777778,3,3.5,5,2.25,6.25,2.5
187,1,1,male,German,4,5,4,5.25,4.25,4.75,5,2
188,2,3,male,German,5,4,5.5,2.25,5.5,2.5,5,2.25
187,2,2,female,German,4,3.44444444444444,4.25,2.75,4,4.5,5.25,4.5
188,1,1,female,German,5,4,4.75,1,6,1,5.5,1
189,1,1,male,German,4,3,6.25,3,6,1.25,5.5,1.25
189,2,1,male,German,4,4.33333333333333,4.75,3.25,4.75,3.75,5.25,4
190,1,3,male,German,3,2.77777777777778,3,1.5,2.75,1.75,6.75,2.75
190,2,2,male,German,4,1.66666666666667,3,2.25,3,2,3.75,2.25
191,2,1,female,German,5,2.55555555555556,5.25,3.75,6,5.25,6,5.5
191,1,1,female,German,4,3.11111111111111,2.25,2.25,4.5,2,4.25,1.75
192,1,2,female,German,3,4.55555555555556,4.75,2.25,4.75,1.25,5.75,1
192,2,2,female,German,4,3.66666666666667,5.5,2.25,5.5,1.25,5.5,1.25
193,1,2,female,German,4,2.88888888888889,5.25,4.5,5.5,4.75,5.5,4.5
193,2,2,female,German,5,2.11111111111111,4.5,2.5,5.5,1.25,5.5,1.25
194,1,3,female,German,3,2,4.5,1,4.25,1,6.25,2.25
194,2,3,female,German,4,4.22222222222222,4,2,7,4.25,4.75,1.75
195,1,2,female,German,4,1.88888888888889,6.25,1.25,4.5,1,6.5,1
195,2,2,male,German,5,2,2.5,2.75,4.5,2.75,6.5,2
196,1,1,female,German,5,4.44444444444444,6.25,1.5,7,4,6.25,1.5
196,2,1,female,German,4,2.55555555555556,5.75,2,6.75,2.25,7,2.75
197,1,1,female,German,4,2,5.25,1.5,5.25,1,7,1.75
197,2,1,female,German,3,2.77777777777778,2.75,2.5,4.5,4.25,6.25,4.25
200,2,3,female,German,5,1.77777777777778,4,1.75,4.75,1.25,5,1.5
200,1,3,female,German,5,3,3.5,1.5,5.5,1.25,5.25,1.25
201,1,3,female,German,4,3.66666666666667,5,1.25,6,1.25,6.5,1.25
201,2,2,female,German,4,3.11111111111111,5,2.5,6,1.5,6,1.5
205,2,3,female,Other,5,4.55555555555556,5.5,3.75,5.25,2.25,6.25,3
205,1,3,female,German,5,3,3.25,2,4.25,2.5,6,2.75
204,1,1,female,German,3,4,4,4.5,4.5,4.25,5.5,3.75
204,2,1,female,German,3,3,5.25,3,4,1.75,5.75,2.25
206,1,2,female,German,4,1.55555555555556,4,1,7,1,7,1.25
206,2,2,female,German,5,3.33333333333333,4.5,2.5,6,3.25,6.25,3.75
207,2,2,female,German,4,2,4,1.75,4.25,1,3.75,1.5
208,1,2,female,German,3,1.33333333333333,3.25,1.25,5.5,1.25,5.75,1
207,1,1,female,German,4,2.66666666666667,2.75,2,5,1.5,5.25,2.75
208,2,2,female,Other,3,3.55555555555556,2,2,4,4,5.5,3.25
209,1,3,female,German,5,3.22222222222222,4.25,3.25,6,1.25,6.5,3
209,2,3,female,German,5,1.11111111111111,4,1,6,1,5.75,1
210,1,2,male,German,4,2.55555555555556,4,2,4,2,4.5,2.25
210,2,2,male,German,4,3.44444444444444,5.75,3.5,5.75,2.25,5,2.25
211,1,1,male,German,4,3.77777777777778,3.5,2.75,4,5.5,4.75,5.5
211,2,1,female,German,4,4.11111111111111,4,3.5,4.25,2.25,6.5,3
212,2,3,female,German,4,2.77777777777778,5,2.5,4.5,2,5,2
212,1,3,female,German,3,4.33333333333333,4.5,3.25,4,4,4,4
