dyad,partner,age,sex,closeness,pes,p_self,d_self,p_other,d_other
1,1,1,female,5,5.22222222222222,3.2,1.8,3.6,1.8
1,2,1,male,5,5.55555555555556,4.6,1.6,4,1.8
2,1,1,female,5,2.44444444444444,4.2,3,5.2,2.6
2,2,1,female,5,1.88888888888889,3.8,2.8,4.6,5
3,1,1,male,5,4.22222222222222,4.8,2,4.8,2.2
3,2,1,male,5,3.44444444444444,3.8,1.8,4.6,1.4
4,1,1,female,5,2.11111111111111,3.8,1.6,4,1.6
4,2,3,female,5,4,4.6,2.4,5,2
5,1,1,female,4,7,5.6,2.2,5.6,3
5,2,2,female,5,6.44444444444445,5.8,2.4,5.6,4.8
6,1,1,female,5,5,4.6,2,5.2,1.8
6,2,1,female,4,4.44444444444444,2.4,3.4,3,3.4
7,1,3,female,5,4.11111111111111,3.6,2.4,4,3.6
7,2,3,female,5,1.88888888888889,4.4,2.6,3.2,1.4
8,1,3,female,5,2.66666666666667,4.8,1.6,5.6,2.4
8,2,3,male,5,1.77777777777778,2.8,1.8,3,3
9,1,1,female,5,2.88888888888889,4.6,2.2,5.2,2.6
9,2,3,female,5,3.22222222222222,4.8,2.8,5.4,3.2
10,1,3,female,5,4.22222222222222,4,2.8,4,2.2
10,2,3,female,5,5.11111111111111,4.4,2.4,4.4,2.8
11,1,1,female,4,3.11111111111111,3.4,2.6,5.2,2.4
11,2,1,female,4,2.77777777777778,5.4,1.6,5.8,1.8
12,1,1,female,5,3.22222222222222,5,3,5.8,1.6
12,2,1,female,5,2.77777777777778,5.2,1.6,6,1
13,1,3,female,5,2,4,2,3.4,3
13,2,3,male,5,2.33333333333333,3.4,1,4.4,1.2
14,1,2,female,5,4.22222222222222,4.4,2.6,4.8,2
14,2,2,male,5,1.44444444444444,4.6,2.4,5,2.8
15,1,3,female,3,3.11111111111111,3.6,2,5,2.6
15,2,3,female,4,5.66666666666667,4.8,2.2,4.6,2.6
16,1,3,female,5,2.22222222222222,4.4,2,4.6,2
16,2,3,male,5,2.11111111111111,4.4,2,5,2
17,1,1,female,3,5.22222222222222,4.8,4.6,5.4,1.8
17,2,1,female,3,2.66666666666667,2.6,1.8,4.2,2
18,1,1,male,4,4.77777777777778,5.2,3,4,2.6
18,2,1,female,4,1.77777777777778,4.4,1.4,5,1.8
19,1,1,female,4,2,4.6,2.2,4.4,2
19,2,1,female,4,3.55555555555556,3.8,2.4,4.4,3.4
20,1,2,female,5,2.11111111111111,3.6,2.2,3.6,2.4
20,2,1,female,5,2.44444444444444,3.4,3.2,3,3.2
21,1,1,female,4,3.55555555555556,3.6,2.8,3.2,3
999,1,1,female,5,1,4.6,2.4,4.2,1.6
21,2,1,male,5,3,4.2,2.2,5,1.8
999,2,1,female,5,3.22222222222222,3.4,2.2,4.8,2
23,1,1,female,5,3.33333333333333,4.6,1.2,4.8,1.4
23,2,1,female,5,2.77777777777778,3,1.4,3,1.8
24,1,1,female,5,4.44444444444444,4.6,1.8,3.8,1.6
24,2,1,female,5,4.11111111111111,4.2,1.2,3.6,1.2
25,1,1,male,5,4.11111111111111,3.4,1.6,3.8,2
25,2,2,male,4,2.22222222222222,3.8,1.2,2.8,1.2
26,1,3,male,4,3.77777777777778,3.2,2.4,3.4,2.2
26,2,3,male,4,2.77777777777778,4.4,3,3.6,2.4
27,1,1,male,3,3,3,2.4,2.2,1.4
27,2,2,male,4,3.22222222222222,3.2,2.2,3.6,2
28,1,2,male,3,2.11111111111111,3.8,2.4,4.2,1.4
28,2,2,male,4,1.22222222222222,4,1.2,5.4,1
29,1,1,female,5,3.22222222222222,3.6,3,3.4,2.8
29,2,1,male,4,3.22222222222222,3.4,2.6,4,2
30,1,1,female,4,2.11111111111111,2.8,2.4,4.4,2.8
30,2,1,female,5,3.88888888888889,3.8,3.2,3.4,1.8
31,1,1,female,3,4.11111111111111,4.2,1.8,3.8,1.8
31,2,1,female,2,3.33333333333333,3,2,4,2
32,1,1,female,4,4.22222222222222,4,2.8,4,2.8
32,2,2,male,5,4.11111111111111,3.2,2.2,3.4,2.2
33,1,1,male,4,3.66666666666667,3.8,2.6,3.8,2.8
33,2,1,male,5,3,3.6,2.8,3.4,2.2
34,1,2,male,4,3.66666666666667,3.6,2.8,4.2,1.8
34,2,2,female,5,2.66666666666667,3.6,2,3.6,2.4
35,1,1,female,5,4.66666666666667,4.8,2.6,5,2.4
35,2,1,male,4,4,3.4,2.4,4.6,2
36,1,1,female,5,2.77777777777778,5,4.2,3.4,3.2
36,2,1,female,5,2.33333333333333,2.8,2.8,4,3
37,1,2,female,5,3.55555555555556,5,2.4,5.8,1.6
37,2,2,female,5,2.66666666666667,5.4,1.8,5.6,2
38,1,3,male,4,2.66666666666667,4.4,2,3,1.4
38,2,2,female,3,3.11111111111111,4.6,2.4,4.4,1.8
39,1,3,female,3,2.66666666666667,4.6,1.6,5.4,1.2
39,2,2,female,3,3.66666666666667,3.6,1.6,4.6,1.2
40,1,3,male,5,4.11111111111111,3.4,2,3.4,1.8
40,2,3,female,5,4.44444444444444,4.8,2,5,2.8
41,1,1,female,4,1.66666666666667,3.8,1.8,4.6,1.2
41,2,1,female,4,1.88888888888889,4.8,2.6,4,2.6
42,1,1,female,4,3.33333333333333,4.2,2,5.2,1.8
42,2,3,female,3,4.11111111111111,4.4,1.4,4.2,3.6
43,1,1,female,5,2.88888888888889,3.4,2.2,5,3.4
43,2,1,female,5,2,3.6,2.8,5,2.4
44,1,2,male,3,4.33333333333333,4.4,1.6,5.2,1.8
44,2,1,male,3,3.55555555555556,3.6,2.2,3.8,1.8
45,1,3,female,4,3.55555555555556,4.6,2.2,5,1
45,2,3,male,4,2,4.6,1.4,4.8,2.8
46,1,2,female,5,2.66666666666667,4.4,1.4,3.8,1.4
46,2,3,male,5,5.11111111111111,5,2.6,5,2.8
47,1,1,female,5,2.88888888888889,4.2,1.2,4.8,1.8
47,2,1,female,5,2.11111111111111,3,2,5.8,1
48,1,1,female,5,1.33333333333333,4,1.8,5.6,1.4
48,2,1,female,5,1.66666666666667,3.2,2,5.4,2.2
49,1,2,male,4,2.88888888888889,2.6,2.6,3.6,1.4
49,2,3,male,5,3.77777777777778,5.4,3.2,5.2,3.2
50,1,1,female,4,4.11111111111111,3.8,1.6,4,2
50,2,1,female,4,2.66666666666667,5.2,1.8,5.2,1.6
51,1,2,male,5,6,5,2.4,6,5
51,2,3,female,5,6,6,3.8,5.2,2.2
52,1,2,female,5,1.22222222222222,4.6,1.6,4.2,1.8
52,2,2,male,5,3.88888888888889,3.8,3.4,5.2,4.8
53,1,2,female,4,2.88888888888889,3.8,1.8,4,1.6
53,2,2,female,4,3.77777777777778,4.4,2.2,4.8,1.6
54,1,2,female,4,1.55555555555556,3.4,1.6,4,1.2
54,2,1,female,5,2.22222222222222,4.8,1.4,5.6,1
55,1,2,female,5,3.22222222222222,4.2,2.2,5.8,1.4
55,2,1,female,5,3.77777777777778,4.4,1.6,4.8,1.6
56,1,3,female,3,3,5,2.6,5,1.4
56,2,3,female,3,3.88888888888889,3.4,2.2,4,1.4
57,1,3,male,4,4.11111111111111,3.2,1.8,3.4,1.8
57,2,3,female,4,1.77777777777778,5,2,5.4,2.4
58,1,2,female,5,1.88888888888889,3.2,1.6,5,2.8
58,2,3,male,4,4.77777777777778,5,4.8,3.6,4
59,1,3,female,4,2,4.2,2.2,4.4,2.2
59,2,3,female,5,1.88888888888889,4.8,1.4,5.4,1.2
60,1,3,male,1,4.22222222222222,5,1.4,4.2,1.8
60,2,3,male,3,4.44444444444444,5,1.8,5,1.8
61,1,1,female,4,3.66666666666667,3.8,2.4,4.6,2.8
61,2,3,male,4,2,3.2,2,4.4,2.6
62,1,3,female,3,3,2.8,2.4,4.2,1
62,2,2,female,4,2,4,2,4.6,1.4
63,1,3,female,5,2.55555555555556,3,1.6,4.6,3.4
63,2,2,female,5,2.66666666666667,4.6,3.2,5.6,2
64,1,2,female,4,3.55555555555556,5,1.8,4.2,2
64,2,2,female,4,3.22222222222222,3.6,1.2,4.6,1.8
65,1,3,male,4,5,4.2,2.8,3.2,1.6
65,2,3,male,5,4.33333333333333,5.4,2.2,4.2,2.4
66,1,2,female,5,3.55555555555556,5,2.4,4.4,3.6
66,2,2,female,5,2.22222222222222,4.2,2.2,4.2,3.8
67,1,2,male,5,1.44444444444444,3.2,1.4,4.2,1.4
67,2,2,male,4,4.11111111111111,5.2,1.4,5.2,1.6
68,1,1,male,3,2.44444444444444,4.4,2.6,4.8,2
68,2,2,female,4,1.22222222222222,4.8,1.8,5.8,1.2
69,1,1,female,5,3.33333333333333,3.2,2.6,4.2,3.8
69,2,1,female,4,3.11111111111111,3.8,2.4,3.8,1.6
70,1,3,male,5,3.55555555555556,5,2.2,3.2,3.8
70,2,3,female,5,5.55555555555556,4.4,3,4.2,2.6
71,1,2,female,5,2.11111111111111,3.6,1.4,3.4,1.2
71,2,2,female,5,3.55555555555556,3.8,1.8,4.8,1.2
72,1,1,female,4,4.33333333333333,3.8,2.2,4.8,1.8
72,2,1,female,4,3.77777777777778,4.8,3,4.8,3.2
73,1,3,female,3,2.88888888888889,3.6,2,4.4,1.6
73,2,2,female,3,1.33333333333333,2.8,1.4,4,1.4
74,1,1,female,4,3.55555555555556,5.6,2,5.6,1.2
74,2,1,female,4,2.22222222222222,5,2.6,5.2,2.2
75,1,1,female,5,2.88888888888889,4.8,2.2,5.6,2.4
75,2,3,female,5,2.11111111111111,5.2,1.6,5.8,1.2
76,1,2,male,4,4.55555555555556,4.2,2.4,4.6,2.8
76,2,1,female,4,5.88888888888889,5.4,1.8,5,3.4
77,1,2,male,5,4.77777777777778,4.6,2.6,5.6,1.8
77,2,2,male,5,3.55555555555556,5.4,2.8,3,3
78,1,1,female,4,2.77777777777778,3.8,2,3.2,2.2
78,2,1,female,5,4,4,3,4.4,2.4
79,1,1,male,5,3.44444444444444,3.4,2.6,3.2,2.8
79,2,1,male,5,2.77777777777778,3,2.4,4,2.2
80,1,2,female,4,1.77777777777778,4.4,1.4,5,1.4
80,2,3,female,5,2.55555555555556,4.6,1.2,4.4,1.8
81,1,1,female,5,1.55555555555556,3.4,1.2,6,1.2
81,2,1,female,4,1,4,1.8,6,1.8
82,1,1,female,4,2.88888888888889,4.4,2.2,5,2
82,2,1,female,4,2.88888888888889,4.6,2.4,5.4,1.8
83,1,1,female,4,1.55555555555556,4.6,1.4,5.6,2
83,2,1,female,4,2.44444444444444,4.8,1.8,5.8,1.4
84,1,2,male,5,1.44444444444444,3,2.8,4.6,4.6
84,2,2,female,5,2.66666666666667,5,1.8,6,3.6
85,1,3,female,5,2.88888888888889,4.2,2.4,4.2,2.8
85,2,3,female,5,2.88888888888889,3.8,2.8,4.8,2.4
86,1,1,female,4,2.88888888888889,4.6,1.8,5.6,1.2
86,2,1,female,5,2.33333333333333,3.2,2.2,5,1.8
87,1,2,female,2,4.22222222222222,3.4,3.2,5,4
87,2,3,female,4,2.22222222222222,3.8,2,4,1.6
88,1,3,female,5,2.88888888888889,3.6,1.6,3.4,2.8
88,2,3,male,5,3.88888888888889,4.4,2.4,5,3.4
89,1,1,female,4,4,2.8,2.8,3.8,2
89,2,1,female,4,3,3,1.4,3.4,1.4
90,1,2,female,4,2.66666666666667,3.2,1.4,4.8,1
90,2,1,female,4,4,3.6,2.2,4.8,1.2
91,1,1,male,3,4.44444444444444,6,1.8,5.6,2
91,2,1,female,3,2.11111111111111,3.2,1.4,4.4,1.2
92,1,1,female,5,2,3.8,2.4,5.2,3.4
92,2,1,male,5,2.44444444444444,4.2,1.8,5.8,2
93,1,1,female,5,3.33333333333333,3.6,3.4,3.6,1.6
93,2,1,male,5,1.22222222222222,3.4,1.8,4.4,2.6
94,1,2,female,4,4,4,2,4.4,2.2
94,2,3,female,4,3.77777777777778,4.4,2,3.8,2
95,1,3,female,4,5.11111111111111,5,1.6,5,1.8
95,2,3,female,4,4,3.4,2.4,4.4,2.8
96,1,1,female,4,2,3.6,2.2,5.4,2.4
96,2,1,female,5,4.88888888888889,4,2.6,3.6,2.2
97,1,3,female,4,2.11111111111111,3.4,1.6,3.6,2.8
97,2,3,male,4,2.88888888888889,3.8,2.2,4.6,1.4
98,1,1,female,5,3.44444444444444,3.4,1.4,5,1.4
98,2,3,male,5,2.33333333333333,3.8,3,3.2,2.4
99,1,1,female,5,3.88888888888889,4.6,2.6,5.6,2.4
99,2,1,male,5,2,5,2.4,4.8,2.2
100,1,2,female,4,2.22222222222222,4.2,2,4.4,2.4
100,2,3,male,4,4,4.2,2,4.8,2.4
101,1,3,female,4,3.22222222222222,5,2.2,5,2.6
101,2,3,male,4,2.66666666666667,5.2,1.2,5.4,1.2
102,1,1,female,5,2.55555555555556,4.8,1.8,5.8,1.2
102,2,,male,5,2.88888888888889,4.8,1.8,5.6,1.6
103,1,3,female,4,1.66666666666667,3.8,1.8,4.6,1
103,2,2,female,3,5.22222222222222,4,2.8,4.6,3.8
104,1,1,female,4,1.11111111111111,5,1.6,4.8,1.6
104,2,1,female,5,3.88888888888889,5,2.6,5,2
105,1,1,female,4,1.44444444444444,5.2,1.2,5.8,1
105,2,1,female,4,2,3.4,1.4,4.2,1.2
106,1,2,female,4,3.44444444444444,4.6,2,4.8,1.2
106,2,2,male,4,2.77777777777778,4,2.4,3.6,2.4
107,1,3,male,4,2.44444444444444,4.4,4.6,5.8,4.6
107,2,3,female,4,3.44444444444444,5.2,3.6,6,2.8
108,1,3,male,3,2.66666666666667,3.2,2.2,4,2.6
108,2,1,female,2,1.22222222222222,3.6,1.4,4.6,1
109,1,3,female,4,6.33333333333333,4.2,1.6,4.6,3.4
109,2,2,female,4,3.55555555555556,4.4,1.6,5.2,1.2
110,1,2,female,4,3.22222222222222,4,2.6,5,1.6
110,2,2,female,4,1,3.4,1.4,4.6,1.2
111,1,2,female,3,3,3.6,2.4,3.8,2.6
111,2,2,female,3,3.33333333333333,5.2,2,4.2,1.6
112,1,1,male,5,3.33333333333333,2.8,3.2,5.4,3.2
112,2,1,female,5,1.55555555555556,5.2,1.6,4.6,1.6
113,1,3,female,3,1,3.2,1.4,3.4,1.4
113,2,,female,3,4.44444444444444,3.4,2.2,5.4,2
114,1,1,male,5,1.22222222222222,3,1.6,4,1.4
114,2,2,female,5,2.33333333333333,2.4,2,5.2,2.6
115,1,1,female,5,3.11111111111111,3.8,2.6,3.8,2.6
115,2,2,male,5,4.55555555555556,3,2.6,4.2,3.6
116,1,1,male,5,1.55555555555556,4.4,1.8,5.2,3
116,2,1,female,5,1.88888888888889,3.2,2,4.4,2
117,1,2,male,5,2.77777777777778,3,2,4.2,1.4
117,2,3,male,4,4,3.8,2.4,3.8,2.2
118,1,2,male,5,2.11111111111111,4,2.2,4.8,2.2
118,2,2,female,5,1,3.6,1.2,4.8,1.4
119,1,3,female,4,2.55555555555556,5,1.4,5.2,1.4
119,2,1,female,4,2.55555555555556,3.8,2,4.8,1.8
120,1,3,female,4,1.88888888888889,4.4,1.8,4,1.2
120,2,3,female,3,1.11111111111111,5.2,1.6,6,1.2
121,1,2,female,5,3.22222222222222,4,1.8,4.4,2
121,2,2,male,5,5.22222222222222,3.2,1.4,3.2,1.2
122,1,1,female,5,3.66666666666667,5.4,2.4,4.6,2
122,2,1,female,5,2.66666666666667,4.2,1.4,5.6,1.6
123,1,2,female,4,3,3.6,2.2,5,1.6
123,2,3,male,3,4,2.8,2.4,2.8,3
124,1,3,female,3,2.44444444444444,2.8,1.8,2.6,2
124,2,3,female,3,4.11111111111111,3.8,2.6,3.8,1
125,1,3,female,4,2.44444444444444,4.4,2.4,4.6,1.8
125,2,2,female,5,2.88888888888889,3.8,2.4,4,2.8
126,1,1,female,4,2.44444444444444,3.6,1.8,4.6,1.6
126,2,1,female,4,2.11111111111111,4.4,1.8,6,1.2
127,1,3,female,4,1.88888888888889,4,1.8,5.2,1.6
127,2,2,female,4,3.77777777777778,4.6,2.8,5.4,1.4
128,1,3,female,4,4.22222222222222,4,2.2,3.8,2
128,2,1,female,4,2.33333333333333,3.6,1,5,1
129,1,3,male,3,4.22222222222222,3.8,2.6,3.2,2.4
129,2,2,female,4,3.44444444444444,3,3,4.4,1.8
130,1,3,male,4,2.88888888888889,3.8,1.2,5,1.8
130,2,2,female,4,3.33333333333333,3.6,1.2,5.4,1.6
131,1,,female,4,1.77777777777778,2.5,1.2,4.2,1.2
131,2,3,female,4,2.44444444444444,4,1.2,4.4,1.2
132,1,3,female,5,3.77777777777778,5.2,1.8,5.4,2.4
132,2,3,female,5,4.88888888888889,5.2,1.6,5,1.4
133,1,1,female,5,3.55555555555556,3.4,2,3.6,3
133,2,1,female,4,3.88888888888889,2.4,2.2,2.4,3.8
134,1,,,,2.88888888888889,3.2,1.4,3.8,1.4
134,2,,,,2.22222222222222,2.8,2.2,4,1.2
135,1,3,female,5,2.55555555555556,3.8,2,2.6,2.2
135,2,3,female,4,4.66666666666667,3.4,1.4,4.2,1.6
136,1,3,male,5,2.11111111111111,2.8,1.8,4.2,1.2
136,2,3,female,4,1.22222222222222,3.6,1.4,3,1.8
137,1,3,female,5,3.44444444444444,3.6,2.6,3.6,2.8
137,2,3,male,5,2.55555555555556,4.2,3,4.4,2.8
138,1,1,female,5,3.66666666666667,3.4,1.6,4.6,2.2
138,2,3,female,5,3.66666666666667,4,2,3.4,1
139,1,1,female,4,2.77777777777778,4.2,3,3.2,3.4
139,2,1,female,4,2.55555555555556,3.2,2.6,3.4,1.8
140,1,3,,5,1.88888888888889,3.8,1.4,5,1.2
140,2,3,female,5,4,2.8,1.6,4.8,1.6
141,1,3,female,5,2.77777777777778,3,2.4,3.6,2.8
141,2,3,female,5,3.44444444444444,3.2,2.2,4.4,3.6
142,1,,,5,2.77777777777778,3.6,2.2,3.8,1.6
142,2,3,male,5,3,2,2.6,3.4,3
143,1,2,male,5,2.44444444444444,3,1.2,3.2,1.4
143,2,2,male,5,2.66666666666667,3.4,1.6,4.6,1.8
144,1,,,,3.22222222222222,3.4,2.4,4,2.4
144,2,3,male,5,4.22222222222222,3.6,2,3.8,1.8
145,1,3,female,4,3.66666666666667,3.4,1.6,3,1.2
145,2,2,female,5,4.22222222222222,4,4,4,2
146,1,3,female,5,3.11111111111111,4.4,1.8,4.4,1.4
146,2,3,male,5,2.22222222222222,3.8,1.8,4,1.4
147,1,3,female,4,4,4,2.6,4.2,1.8
147,2,3,female,5,2.55555555555556,3.4,2.2,4.6,2.4
148,1,1,female,4,4.55555555555556,3.8,2.2,4,2.2
148,2,1,female,4,2.55555555555556,2.8,2.8,2.8,1.6
149,1,3,male,4,3.77777777777778,4.6,2.8,4,4
149,2,3,female,4,2,3.6,2.6,3.8,2.6
150,1,3,male,2,3.11111111111111,2.6,2.4,3.2,1.4
150,2,3,female,3,2.33333333333333,3.4,1.6,3.6,1.4
151,1,1,female,4,3.33333333333333,2.6,2.6,2.8,2.4
151,2,1,male,4,2.22222222222222,3,3.8,3.2,2.6
153,1,1,female,4,1.55555555555556,2.4,2,3.2,2.6
153,2,1,female,4,1.33333333333333,3,1.8,2.6,1.6
154,1,1,female,4,2.44444444444444,3.6,2.2,3.4,1.8
154,2,2,male,4,3.44444444444444,4,2.6,4.6,2.6
155,1,3,male,5,2.88888888888889,4.4,2.2,4.8,2.2
155,2,2,male,4,2.77777777777778,3,1.4,3,1.2
156,1,3,female,5,3.11111111111111,2.8,2.2,3.6,1.6
156,2,3,male,5,1.88888888888889,3.4,2.2,3.2,1.6
157,1,3,male,5,2.44444444444444,2.8,1.8,3.6,2.6
157,2,3,male,5,4,3,2,3.2,2
158,1,3,female,5,3,3.6,3.6,3.6,3.2
158,2,3,female,5,3.55555555555556,2.8,2.8,4.4,3.2
159,1,1,female,4,3,2.8,2.2,4.4,2.2
159,2,1,male,5,3.33333333333333,3.8,2.6,3.6,1.6
160,1,2,female,4,2.77777777777778,2.8,1.6,4.8,1.6
160,2,1,female,4,3.66666666666667,4,1.8,3.6,1.4
161,1,2,male,5,3,4,2.8,3.6,2.6
161,2,2,male,5,4.11111111111111,3.8,2.8,3.2,3.2
162,1,2,female,4,2.66666666666667,4.2,1.8,3,2.2
162,2,2,female,4,3.88888888888889,3.6,1.8,5.4,2.2
163,1,3,male,4,1.88888888888889,3,1.6,2.8,1.6
163,2,2,female,3,4.33333333333333,3.6,2.4,4.8,2
164,1,1,female,2,3.22222222222222,3.2,2.2,3.8,2
164,2,1,male,3,3.44444444444444,3.8,2.6,3.8,1.8
165,1,1,female,3,1.22222222222222,3.4,2.4,3.2,1.8
165,2,2,male,4,3.88888888888889,4.4,2,5.2,1.6
166,1,3,female,3,1.77777777777778,3.4,2,4.4,1.2
166,2,2,female,3,2.66666666666667,3.6,2.2,3.8,1
167,1,1,male,4,5.33333333333333,4.4,3,4.2,2.4
167,2,1,female,5,3.55555555555556,3.6,1.8,4.2,1.6
168,1,1,female,3,2.77777777777778,3.2,2.6,4,1.6
168,2,1,female,4,1.55555555555556,2.6,2,4.2,1.6
169,1,1,female,3,3,2.6,1.4,3.4,1
169,2,1,female,4,2,2.8,1.6,4,2.8
170,1,1,female,4,3.11111111111111,3.4,1.6,4.6,2
170,2,1,female,3,1.88888888888889,3.6,2.4,3.2,2.2
171,1,1,female,4,2.77777777777778,4.6,1.4,5.2,2
171,2,2,female,4,2.33333333333333,2.6,1.6,3.6,1.4
172,1,2,male,4,2.55555555555556,3,2.4,3.4,2.2
172,2,2,female,4,3.33333333333333,3.4,2,4.4,2.2
173,1,3,female,4,2.22222222222222,2.8,2.6,3.6,1
173,2,1,male,4,3.77777777777778,3.6,2.4,3.8,2.4
174,1,1,female,4,2.66666666666667,4,2,5.4,1.8
174,2,1,female,4,4,3.6,1.2,4,1.2
175,1,2,female,4,2.77777777777778,2.8,2.2,3.6,2.2
175,2,3,male,4,2.33333333333333,2.8,1.6,3.6,1.6
176,1,2,female,4,2.88888888888889,2.6,1.8,4.6,1.2
176,2,2,female,4,2.55555555555556,3,1.6,4,1.8
177,1,2,male,5,3.44444444444444,4,2,3.8,1.4
177,2,1,female,4,2,3,2,3.4,2.4
178,1,3,male,3,3.33333333333333,4.4,2.2,4.8,2.2
178,2,1,male,3,2.11111111111111,3,2,3.6,1.4
179,1,3,male,4,4.11111111111111,3.2,1.8,2.8,2.4
179,2,3,male,4,2.44444444444444,3,2.6,4.2,1.6
180,1,2,female,4,1.88888888888889,2.6,1.6,4,1.4
180,2,2,female,4,2.66666666666667,4,1.6,4,1.4
181,1,2,female,3,1.55555555555556,2.6,3,2.6,2.4
181,2,1,female,3,3.44444444444444,3,1.8,3,2.6
182,1,2,female,2,2,3.8,1.2,4.2,1
182,2,2,female,2,3.33333333333333,4.6,2,4.8,1.2
183,1,2,male,3,1.77777777777778,2.8,1.8,4.6,2
183,2,2,female,2,2.88888888888889,3.4,1.4,3.4,1.6
184,1,2,female,4,4.33333333333333,3.8,1.6,3.6,1.4
184,2,2,female,3,1.11111111111111,3,1.6,3.6,1.6
